"Letöltés idõpontja","2024.03.24. 22:07"
"ISIN kód","HU0000702790",
"Alap neve","Raiffeisen ESG Nemzetközi Részvény Alapok Alapja A sorozat A sorozat",
"Alapkezelõ","Raiffeisen Befektetési Alapkezelõ Zrt.",
"Letétkezelõ","Raiffeisen Bank Zrt.",
"Alaptípus","Nyilvános nyíltvégû",
"Alapfajta","Alapok alapja",
"Bef.pol szerinti kategória","Részvény",
"Devizális kitettség","",
"Földrajzi kitettség","Globális",
"Egyéb kitettség","",
"ESG besorolás","ESG-minõsített",
"Devizanem","HUF",
"Státusz","Aktív",
"Indulás dátuma","1999/01/19",
"Dátum","Nettó eszközérték","Árfolyam"
"2024/03/22","3867911221","5,953523"
"2024/03/21","3864613837","5,943459"
"2024/03/20","3841681228","5,928917"
"2024/03/19","3817769645","5,88759"
"2024/03/18","3836806029","5,911611"
"2024/03/14","3887286255","5,99027"
"2024/03/13","3836678373","5,924668"
"2024/03/12","3839739758","5,918931"
"2024/03/11","3843106023","5,933464"
"2024/03/08","3814290946","5,888523"
"2024/03/07","3799507618","5,863417"
"2024/03/06","3841404966","5,935347"
"2024/03/05","3831961331","5,917949"
"2024/03/04","3805514482","5,872359"
"2024/03/01","3809768086","5,836472"
"2024/02/29","3797037311","5,798789"
"2024/02/28","3769623566","5,754301"
"2024/02/27","3789000559","5,788793"
"2024/02/26","3775334710","5,765988"
"2024/02/23","3702677483","5,655476"
"2024/02/22","3715440720","5,67221"
"2024/02/21","3746473005","5,723184"
"2024/02/20","3743428853","5,719517"
"2024/02/19","3742556112","5,730261"
"2024/02/16","3731113959","5,704123"
"2024/02/15","3690330803","5,640729"
"2024/02/14","3700961483","5,663394"
"2024/02/13","3720231625","5,671187"
"2024/02/12","3725909866","5,677474"
"2024/02/09","3712670704","5,657607"
"2024/02/08","3710352137","5,628984"
"2024/02/07","3706465026","5,617005"
"2024/02/06","3685479159","5,581766"
"2024/02/05","3671268488","5,555223"
"2024/02/02","3651860876","5,525537"
"2024/02/01","3692506529","5,583504"
"2024/01/31","3746253919","5,666994"
"2024/01/30","3712138756","5,610474"
"2024/01/29","3691206693","5,567539"
