"Letöltés idõpontja","2024.03.24. 22:20"
"ISIN kód","HU0000703707",,
"Alap neve","Raiffeisen Etalon Származtatott Alap A sorozat A sorozat",,
"Alapkezelõ","Raiffeisen Befektetési Alapkezelõ Zrt.",,
"Letétkezelõ","Raiffeisen Bank Zrt.",,
"Alaptípus","Nyilvános nyíltvégû",,
"Alapfajta","Származtatott ügyletekbe fektetõ alap",,
"Bef.pol szerinti kategória","Abszolút hozamú",,
"Devizális kitettség","",,
"Földrajzi kitettség","Globális",,
"Egyéb kitettség","",,
"ESG besorolás","",,
"Devizanem","HUF",,
"Státusz","Aktív",,
"Indulás dátuma","2005/08/11",,
"Dátum","Nettó eszközérték","Árfolyam","Kifizetett hozamok"
"2024/03/22","26999650622","2,247901",""
"2024/03/21","26830603386","2,242615",""
"2024/03/20","26581283855","2,241895",""
"2024/03/19","26222505281","2,236646",""
"2024/03/18","26022443519","2,236017",""
"2024/03/14","25922762569","2,244887",""
"2024/03/13","25728028657","2,242309",""
"2024/03/12","25494536969","2,240074",""
"2024/03/11","25294752261","2,242113",""
"2024/03/08","25042771474","2,238189",""
"2024/03/07","24815811371","2,238626",""
"2024/03/06","24505354511","2,240496",""
"2024/03/05","24234409704","2,2374",""
"2024/03/04","23924621901","2,236793",""
"2024/03/01","23597221430","2,232674",""
"2024/02/29","23251651414","2,228952",""
"2024/02/28","23003173927","2,228543",""
"2024/02/27","22719055837","2,227828",""
"2024/02/26","22590302925","2,230588",""
"2024/02/23","22386461290","2,22649",""
"2024/02/22","22191099608","2,22746",""
"2024/02/21","22005223154","2,228668",""
"2024/02/20","21709732918","2,227318",""
"2024/02/19","21509836497","2,225119",""
"2024/02/16","21307536849","2,22488",""
"2024/02/15","21024785988","2,219699",""
"2024/02/14","20770866647","2,214243",""
"2024/02/13","20610281564","2,220579",""
"2024/02/12","20343021468","2,219419",""
"2024/02/09","20141532245","2,217073",""
"2024/02/08","19923485800","2,215003",""
"2024/02/07","19779231613","2,216159",""
"2024/02/06","19069302336","2,2088",""
"2024/02/05","18681996209","2,203943",""
"2024/02/02","18521423700","2,209222",""
"2024/02/01","18181931165","2,207439",""
"2024/01/31","17948729484","2,208625",""
"2024/01/30","17718087459","2,206423",""
"2024/01/29","17462966082","2,201863",""
"2024/01/26","17267757108","2,197872",""
"2024/01/25","16955997286","2,195341",""
"2024/01/24","16793318806","2,194279",""
"2024/01/23","16497778743","2,19163",""
"2024/01/22","16194218681","2,190074",""
"2024/01/19","16018553393","2,187616",""
"2024/01/18","15881898926","2,183657",""
"2024/01/17","15613895939","2,186792",""
"2024/01/16","15391855087","2,189808",""
"2024/01/15","15109466041","2,189843",""
"2024/01/12","14936717789","2,183336",""
"2024/01/11","14560587897","2,179541",""
"2024/01/10","14365576328","2,178438",""
"2024/01/09","14274002543","2,17662",""
"2024/01/08","14168758768","2,181159",""
"2024/01/05","14127735394","2,181479",""
"2024/01/04","14085555004","2,18209",""
"2024/01/03","13999964414","2,183136",""
"2024/01/02","13826527870","2,180005",""
"2023/12/29","13715383367","2,179557",""
"2023/12/28","13591696921","2,181319",""
"2023/12/27","13315726021","2,179947",""
"2023/12/22","13182049682","2,179396",""
"2023/12/21","13054078965","2,180916",""
"2023/12/20","12939217164","2,175475",""
"2023/12/19","12714017393","2,174144",""
"2023/12/18","12525513423","2,167138",""
"2023/12/15","12427783634","2,161381",""
"2023/12/14","12188855634","2,145851",""
"2023/12/13","12057493328","2,140403",""
"2023/12/12","11890915264","2,139939",""
"2023/12/11","11798846024","2,14167",""
"2023/12/08","11696327936","2,140408",""
"2023/12/07","11555869055","2,140856",""
"2023/12/06","11509092753","2,135821",""
"2023/12/05","11390808031","2,136078",""
"2023/12/04","11307664495","2,134415",""
"2023/12/01","11109167606","2,122077",""
"2023/11/30","11008074353","2,11824",""
"2023/11/29","10892812193","2,113853",""
"2023/11/28","10827419020","2,11088",""
