"Letöltés idõpontja","2024.03.21. 10:52"
"ISIN kód","HU0000731922",,,,,,,,,,,,,,,"HU0000727706",,,,,,,,,,,,,,,"HU0000727714",,,,,,,,,,,,,,,"HU0000724737",,,,,,,,,,,,,,
"Alap neve","ADÜTON Származtatott Alap B sorozat HUF B sorozat HUF",,,,,,,,,,,,,,,"Convexity Származtatott Részalap B sorozat EUR B sorozat EUR sorozat",,,,,,,,,,,,,,,"Convexity Származtatott Részalap C sorozat USD C sorozat USD sorozat",,,,,,,,,,,,,,,"HOLD 2000 Nyíltvégû Alap I sorozat I sorozat",,,,,,,,,,,,,,
"Alapkezelõ","Hold Alapkezelõ Zrt.",,,,,,,,,,,,,,,"Hold Alapkezelõ Zrt.",,,,,,,,,,,,,,,"Hold Alapkezelõ Zrt.",,,,,,,,,,,,,,,"Hold Alapkezelõ Zrt.",,,,,,,,,,,,,,
"Letétkezelõ","UniCredit Bank Hungary Zrt.",,,,,,,,,,,,,,,"Raiffeisen Bank Zrt.",,,,,,,,,,,,,,,"Raiffeisen Bank Zrt.",,,,,,,,,,,,,,,"Raiffeisen Bank Zrt.",,,,,,,,,,,,,,
"Alaptípus","Nyilvános nyíltvégû",,,,,,,,,,,,,,,"Nyilvános nyíltvégû",,,,,,,,,,,,,,,"Nyilvános nyíltvégû",,,,,,,,,,,,,,,"Nyilvános nyíltvégû intézményi",,,,,,,,,,,,,,
"Alapfajta","Származtatott ügyletekbe fektetõ alap",,,,,,,,,,,,,,,"Származtatott ügyletekbe fektetõ alap",,,,,,,,,,,,,,,"Származtatott ügyletekbe fektetõ alap",,,,,,,,,,,,,,,"UCITS (európai) alap",,,,,,,,,,,,,,
"Bef.pol szerinti kategória","Abszolút hozamú",,,,,,,,,,,,,,,"Abszolút hozamú",,,,,,,,,,,,,,,"Abszolút hozamú",,,,,,,,,,,,,,,"Vegyes/Kiegyensúlyozott",,,,,,,,,,,,,,
"Devizális kitettség","",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,
"Földrajzi kitettség","Globális",,,,,,,,,,,,,,,"Globális",,,,,,,,,,,,,,,"Globális",,,,,,,,,,,,,,,"Hazai",,,,,,,,,,,,,,
"Egyéb kitettség","",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,
"ESG besorolás","0",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,
"Devizanem","HUF",,,,,,,,,,,,,,,"EUR",,,,,,,,,,,,,,,"USD",,,,,,,,,,,,,,,"HUF",,,,,,,,,,,,,,
"Státusz","Aktív",,,,,,,,,,,,,,,"Aktív",,,,,,,,,,,,,,,"Aktív",,,,,,,,,,,,,,,"Aktív",,,,,,,,,,,,,,
"Indulás dátuma","2024/01/22",,,,,,,,,,,,,,,"2021/08/16",,,,,,,,,,,,,,,"2021/08/16",,,,,,,,,,,,,,,"2020/09/28",,,,,,,,,,,,,,
